cohort,protocol,fold,solvent,model,fit_scope,training_groups,scale,mean_mobile_nm,amplitude_nm,half_concentration_g_l,bound_hit,training_condition_mse
including_summaries_sensitivity,grouped_cv,4,hexane,fixed_lld,same_solvent,14,1.0,,,,,
including_summaries_sensitivity,grouped_cv,4,hexane,local_mean,same_solvent,14,,2.723333333333333,,,,
including_summaries_sensitivity,grouped_cv,4,hexane,scaled_lld,same_solvent,14,1.0490219105739462,,,,,
including_summaries_sensitivity,grouped_cv,4,hexane,saturating_mobile,same_solvent,14,,,185.28022868188674,135.5505783408745,False,0.04562545534154361
including_summaries_sensitivity,grouped_cv,4,toluene,fixed_lld,same_solvent,11,1.0,,,,,
including_summaries_sensitivity,grouped_cv,4,toluene,local_mean,same_solvent,11,,0.23237012987012984,,,,
including_summaries_sensitivity,grouped_cv,4,toluene,scaled_lld,same_solvent,11,0.0027434350879534603,,,,,
including_summaries_sensitivity,grouped_cv,4,toluene,saturating_mobile,same_solvent,11,,,0.26999854303997817,0.0036473183550534364,False,0.007740092220755655
including_summaries_sensitivity,grouped_cv,5,ethyl_acetate,fixed_lld,same_solvent,7,1.0,,,,,
including_summaries_sensitivity,grouped_cv,5,ethyl_acetate,local_mean,same_solvent,7,,1.135,,,,
including_summaries_sensitivity,grouped_cv,5,ethyl_acetate,scaled_lld,same_solvent,7,0.27961150898777526,,,,,
including_summaries_sensitivity,grouped_cv,5,ethyl_acetate,saturating_mobile,same_solvent,7,,,3.5519064664739437,3.8209504120000113,False,0.1789054763833207
including_summaries_sensitivity,grouped_cv,5,hexane,fixed_lld,same_solvent,14,1.0,,,,,
including_summaries_sensitivity,grouped_cv,5,hexane,local_mean,same_solvent,14,,3.089285714285714,,,,
including_summaries_sensitivity,grouped_cv,5,hexane,scaled_lld,same_solvent,14,1.0375142877480326,,,,,
including_summaries_sensitivity,grouped_cv,5,hexane,saturating_mobile,same_solvent,14,,,715.1024020544276,552.5523217589333,False,0.06208950387296922
including_summaries_sensitivity,grouped_cv,5,toluene,fixed_lld,same_solvent,10,1.0,,,,,
including_summaries_sensitivity,grouped_cv,5,toluene,local_mean,same_solvent,10,,0.24860714285714286,,,,
including_summaries_sensitivity,grouped_cv,5,toluene,scaled_lld,same_solvent,10,0.003063494941551863,,,,,
including_summaries_sensitivity,grouped_cv,5,toluene,saturating_mobile,same_solvent,10,,,0.30581116951101006,0.008789274598884074,False,0.009163354495794227
including_summaries_sensitivity,leave_one_solvent_out,ethyl_acetate,ethyl_acetate,fixed_lld,pooled_other_solvents,31,1.0,,,,,
including_summaries_sensitivity,leave_one_solvent_out,ethyl_acetate,ethyl_acetate,local_mean,pooled_other_solvents,31,,1.540760368663594,,,,
including_summaries_sensitivity,leave_one_solvent_out,ethyl_acetate,ethyl_acetate,scaled_lld,pooled_other_solvents,31,0.03895189326335236,,,,,
including_summaries_sensitivity,leave_one_solvent_out,ethyl_acetate,ethyl_acetate,saturating_mobile,pooled_other_solvents,31,,,4.500877741647993,1.4330927169269356,False,5.655284079261306
including_summaries_sensitivity,leave_one_solvent_out,hexane,hexane,fixed_lld,pooled_other_solvents,24,1.0,,,,,
including_summaries_sensitivity,leave_one_solvent_out,hexane,hexane,local_mean,pooled_other_solvents,24,,0.5670932539682539,,,,
