cohort,protocol,fold,model,target,n_train,n_test,n_train_groups,n_test_groups,coverage_80,mean_width_nm,rmse_nm,mae_nm,r2
including_summaries_sensitivity,grouped_cv,2,ridge_log_interactions,bonded_nm,113,28,33,7,0.7857142857142857,0.37364239127044374,0.14811156554292335,0.11179181085982114,0.46452888490196265
including_summaries_sensitivity,grouped_cv,2,ridge_log_interactions,mobile_nm,113,28,33,7,0.8214285714285714,2.7070541831017882,1.96714824022731,1.233460360759387,0.4873975218399217
including_summaries_sensitivity,grouped_cv,2,rf_raw,bonded_nm,113,28,33,7,0.8214285714285714,0.31234890331890314,0.09876101396674423,0.08826652487889082,0.7619165626966307
including_summaries_sensitivity,grouped_cv,2,rf_raw,mobile_nm,113,28,33,7,0.8571428571428571,1.8459082143405179,0.9108216486443197,0.6038804895104894,0.8901061944339446
including_summaries_sensitivity,grouped_cv,2,rf_log_interactions,bonded_nm,113,28,33,7,0.6785714285714286,0.3548782539682538,0.0988532718330046,0.0842069595186558,0.7614715423713139
including_summaries_sensitivity,grouped_cv,2,rf_log_interactions,mobile_nm,113,28,33,7,0.7857142857142857,1.4113798140229314,0.8163061360104932,0.47731830409174136,0.9117300976597316
including_summaries_sensitivity,grouped_cv,3,mean,bonded_nm,113,28,33,7,1.0,0.43154929577464785,0.116060443128441,0.1040992414664981,-0.0025252512354729806
including_summaries_sensitivity,grouped_cv,3,mean,mobile_nm,113,28,33,7,1.0,3.730000000000001,1.0055583634532261,0.9283470290771177,-0.09571274758779369
including_summaries_sensitivity,grouped_cv,3,ridge_raw,bonded_nm,113,28,33,7,0.8928571428571429,0.451480893231796,0.13097726916331123,0.11029553870366,-0.2767878287607757
including_summaries_sensitivity,grouped_cv,3,ridge_raw,mobile_nm,113,28,33,7,1.0,4.0746731151143,1.3114020859127686,1.0245441655788203,-0.8636050969085731
including_summaries_sensitivity,grouped_cv,3,ridge_log_interactions,bonded_nm,113,28,33,7,0.8571428571428571,0.40295866829702437,0.12158464155892193,0.10464853678608192,-0.10023209346975381
including_summaries_sensitivity,grouped_cv,3,ridge_log_interactions,mobile_nm,113,28,33,7,1.0,2.712091701115933,0.6460800071264255,0.5832921973814403,0.5476706656352115
including_summaries_sensitivity,grouped_cv,3,rf_raw,bonded_nm,113,28,33,7,0.7857142857142857,0.45053698051947993,0.1420340653653246,0.11687742537224681,-0.5014535706408663
including_summaries_sensitivity,grouped_cv,3,rf_raw,mobile_nm,113,28,33,7,1.0,2.921154657480416,0.32716278157535017,0.2185050636441925,0.8840128350389821
including_summaries_sensitivity,grouped_cv,3,rf_log_interactions,bonded_nm,113,28,33,7,0.9285714285714286,0.4914082215007211,0.13235319515586222,0.1083724451490969,-0.30375423367272836
including_summaries_sensitivity,grouped_cv,3,rf_log_interactions,mobile_nm,113,28,33,7,1.0,2.881777361155708,0.26469349853848745,0.17530099032809524,0.9240778151140812
including_summaries_sensitivity,grouped_cv,4,mean,bonded_nm,113,28,32,8,0.8571428571428571,0.44054794520547935,0.15743600804489716,0.14054045512010116,-0.1096879055034996
including_summaries_sensitivity,grouped_cv,4,mean,mobile_nm,113,28,32,8,0.8928571428571429,3.1800000000000006,1.7567097139086358,1.1656826801517066,-0.0037174042287380082
including_summaries_sensitivity,grouped_cv,4,ridge_raw,bonded_nm,113,28,32,8,0.8928571428571429,0.4888653475503218,0.1398090325841258,0.1142765432963778,0.12488893445943683
including_summaries_sensitivity,grouped_cv,4,ridge_raw,mobile_nm,113,28,32,8,0.8928571428571429,3.0676314056299847,1.5559276041853154,0.9309928833271439,0.21260940896515002
including_summaries_sensitivity,grouped_cv,4,ridge_log_interactions,bonded_nm,113,28,32,8,0.8214285714285714,0.4339720683856953,0.12513968527421507,0.09198616148985407,0.2988953766875935
including_summaries_sensitivity,grouped_cv,4,ridge_log_interactions,mobile_nm,113,28,32,8,1.0,3.2153969066002612,0.7488042042619532,0.5603318303203626,0.817632267818533
including_summaries_sensitivity,grouped_cv,4,rf_raw,bonded_nm,113,28,32,8,0.9285714285714286,0.36084367854367905,0.12582824854419314,0.10335757182797364,0.291158693701156
including_summaries_sensitivity,grouped_cv,4,rf_raw,mobile_nm,113,28,32,8,0.8928571428571429,1.8864352855279642,0.6489943502578693,0.3517966002895915,0.8630086071163072
including_summaries_sensitivity,grouped_cv,4,rf_log_interactions,bonded_nm,113,28,32,8,0.8571428571428571,0.40186575216450265,0.17290366475152094,0.13401638607424335,-0.33844679159712054
including_summaries_sensitivity,grouped_cv,4,rf_log_interactions,mobile_nm,113,28,32,8,0.75,2.5822312476709803,1.4010755916055164,0.7793507155924723,0.3615386914921246
including_summaries_sensitivity,grouped_cv,5,mean,bonded_nm,113,28,31,9,0.8928571428571429,0.63,0.1821447817650212,0.13484829329962075,-0.0005904811270591726
including_summaries_sensitivity,grouped_cv,5,mean,mobile_nm,113,28,31,9,1.0,3.1800000000000006,0.8396630236713283,0.7876833122629583,-4.188574747971899
including_summaries_sensitivity,grouped_cv,5,ridge_raw,bonded_nm,113,28,31,9,0.8928571428571429,0.5269793131927839,0.16082405164443314,0.11160732938665034,0.21994558762895688
including_summaries_sensitivity,grouped_cv,5,ridge_raw,mobile_nm,113,28,31,9,1.0,3.1249133493226346,0.8029083959818091,0.6047452291240164,-3.7442767969385216
including_summaries_sensitivity,grouped_cv,5,ridge_log_interactions,bonded_nm,113,28,31,9,0.8928571428571429,0.5330880260530858,0.12253570229815824,0.09502325203772204,0.547156448238173
including_summaries_sensitivity,grouped_cv,5,ridge_log_interactions,mobile_nm,113,28,31,9,1.0,3.200814948415571,0.5875594074904459,0.4584977330445155,-1.5406309771957667
including_summaries_sensitivity,grouped_cv,5,rf_raw,bonded_nm,113,28,31,9,1.0,0.641621202963704,0.10831364321892968,0.07705737429732958,0.646174419855652
